Artist,Times Seen,First Concert,Last Concert,Venues (sample)
Bruce Springsteen & the E Street Band,72,1999-07-15,2024-08-23,"Izod Center, XL Center, Madison Square Garden, Wachovia Center, Schottenstein Center..."
Billy Joel,65,1996-03-16,2025-02-22,"Eisenhower Hall, Nassau Coliseum, Madison Square Garden, Izod Center, 92 Y..."
Bruce Springsteen,29,2001-12-04,2024-09-13,"Convention Hall, Wachovia, Izod Center, Arena at Harbor Yard, Nassau Coliseum..."
Elton John,22,1995-10-14,2022-07-23,"Madison Square Garden, Fleet Center, Arena at Harbor Yard, Caesars Palace, Nassau Coliseum..."
Dave Matthews Band,20,1998-06-07,2025-05-24,"Giants Stadium, The Meadowlands, Madison Square Garden, Central Park, Jones Beach Theater..."
Jimmy Buffett,20,1999-02-22,2021-08-10,"Madison Square Garden, Southhampton College, Jones Beach Theater, Today Show Plaza"
Dead & Company,19,2015-10-29,2024-06-15,"Times Union Center, Madison Square Garden, Citi Field, Nassau Coliseum, Xfinity Center..."
Allman Brothers Band,18,1996-03-12,2011-03-18,"Beacon Theatre, Jones Beach Theater, United Palace Theater"
U2,18,1997-05-31,2023-10-05,"Giants Stadium, Izod Center, Madison Square Garden, Wachovia, MetLife Stadium..."
Keith Urban,17,2011-07-09,2025-10-03,"Mohegan Sun Arena, Highline Ballroom, The Meadowlands, Today Show Plaza, Stage 48..."
Bon Jovi,14,2001-07-28,2018-05-10,"Giants Stadium, Continental, Prudential Center, Madison Square Garden, Chelsea Piers..."
John Fogerty,14,1997-06-03,2025-05-28,"Hammerstein, Great South Bay Music Festival, PNC Bank Arts Center, Beacon Theatre, Stamford Center for Arts..."
KISS,14,1996-07-25,2023-12-02,"Madison Square Garden, Nassau Coliseum, Jones Beach Theater, Izod Center, Barclays Center"
Will Hoge,14,2013-07-25,2024-10-24,"Bowery, Bell House Brooklyn, Wonder Bar, The Saint Asbury Park, City Winery NYC..."
Joe Bonamassa,13,2010-11-12,2025-02-27,"Stamford Center, NYCB Theatre at Westbury, Beacon Theatre, Carnegie Hall, Bushnell Theater..."
John Hiatt,13,2008-08-07,2024-05-31,"Rockin River Cruise, Tarrytown Music Hall, City Winery, Ridgefield Playhouse, Caramoor"
Paul McCartney,13,2002-04-21,2022-06-16,"Nassau Coliseum, Madison Square Garden, Citi Field, Yankee Stadium, Barclays Center..."
Pearl Jam,13,1998-09-10,2024-09-12,"Madison Square Garden, Nassau Coliseum, Continental, Barclays Center, Fenway..."
Eric Clapton,12,1995-09-19,2025-09-19,"Nassau Coliseum, Madison Square Garden, Jones Beach Theater"
Avett Brothers,11,2016-04-09,2025-08-08,"Capitol Theatre, Great South Bay Music Festival, Westville Music Bowl, Tilles Center"
Bob Dylan,11,1996-05-01,2023-11-16,"Mid Hudson Civic Center, XL Center, Jones Beach Theater, Bridgeport Harbor Yard, Capitol Theatre..."
Tom Petty & the Heartbreakers,11,1995-08-18,2017-07-27,"The Meadowlands, Irving Plaza, PNC Bank Arts Center, Jones Beach Theater, Madison Square Garden..."
Bob Weir & Wolf Brothers,8,2018-11-10,2023-12-17,"Capitol Theatre, Beacon Theatre, Radio City Music Hall, Westville Music Bowl"
John Mellencamp,8,1997-04-12,2023-06-06,"MSG - Paramount, Jones Beach Theater, OMaha Qwest Center, Radio City Music Hall, Carnegie Hall..."
Roger Waters,8,1999-08-07,2022-08-31,"Jones Beach Theater, Madison Square Garden, Nassau Coliseum, UBS Arena"
Zac Brown Band,8,2015-08-22,2023-09-16,"Citi Field, Jones Beach Theater"
Black Crowes,7,1999-02-28,2024-12-22,"Beacon Theatre, Central Park, NYCB Theatre at Westbury, Xfinity Center, Bridgeport Amphitheatre..."
Mumford & Sons,7,2010-11-15,2025-08-09,"Terminal 5, Barclays Center, Le Poisson Rouge, Forest Hills, Madison Square Garden..."
Chris Stapleton,6,2017-07-15,2025-07-25,"Xfinity Hartford, Madison Square Garden, Jones Beach Theater, Albany Times Union Center"
Jackson Browne,6,2008-04-06,2025-08-13,"Great South Bay Music Festival, Beacon Theatre, Capitol Theatre, Bridgeport Amphitheatre"
Kings of Leon,6,2009-09-14,2024-10-05,"Nassau Coliseum, Madison Square Garden, Bridgeport Amphitheatre"
Kip Moore,6,2016-12-01,2024-12-12,"Terminal 5, Manhattan Center, Ridgefield Playhouse, Mayo Performing Arts, Webster Hall"
Richard Thompson,6,2019-05-11,2024-03-01,"Outpost at Burbs, City Winery, Symphony Space, City Winery HV, Emelin Theater"
Rush,6,1996-12-15,2015-06-29,"Izod Center, Jones Beach Theater, Madison Square Garden"
The Who,6,1996-07-20,2025-08-28,"Madison Square Garden, Jones Beach Theater"
Aerosmith,5,1997-08-06,2018-08-15,"Madison Square Garden, Jones Beach Theater, Beacon Theatre, Today Show Plaza"
Brad Paisley,5,2016-08-04,2025-07-18,"Jones Beach Theater, Today Show Plaza, Bridgeport"
Dickey Betts & Great Southern,5,2002-06-16,2011-01-28,"BB Kings, Mulcahey, Ridgefield Playhouse"
Doobie Brothers,5,2010-11-19,2025-06-06,"NYCB Theatre at Westbury, Capitol Theatre, Jones Beach Theater, Irving Plaza"
Eric Church,5,2015-05-02,2025-09-20,"Prudential Center, Barclays Center, XL Center, Madison Square Garden"
Fleetwood Mac,5,2003-09-30,2019-03-11,"Madison Square Garden, Today Show Plaza"
Guns N' Roses,5,2002-12-03,2021-08-05,"XL Center, MetLife Stadium, Madison Square Garden, Prudential Center"
Jesse Malin,5,2010-03-04,2025-09-05,"Bowery Electric, Electric Bowery, City Winery, Stone Pony, Gramercy Theater"
John Hiatt & Lyle Lovett,5,2009-02-08,2019-02-22,"Morristown Theater, Portchster, Ridgefield Playhouse, Beacon Theatre, Tarrytown Music Hall"
Lady Gaga,5,2010-07-07,2025-08-27,"Madison Square Garden, Roseland, Citi Field, Dolby Live (Vegas)"
Lyle Lovett,5,2009-11-04,2017-08-09,"Beacon Theatre, Tarrytown Music Hall, Capitol Theatre"
Peter Frampton,5,2008-01-08,2025-04-01,"Gibson Guitar Tent (Vegas), NYCB Theatre at Westbury, Jones Beach Theater, Capitol Theatre"
Phil Collins,5,2004-09-18,2019-10-07,"Madison Square Garden, Roseland, Prudential Center"
Richie Havens,5,1998-05-13,2009-08-21,"Turning Point, Towne Crier, Towne Criere, Yorktown heights FDR Park"
Roger McGuinn,5,1996-07-13,2025-05-09,"Paramount - Peekskill, Tarrytown Music Hall, Irvington Town Hall"
The Eagles,5,1996-06-24,2022-04-23,"Nassau Coliseum, Izod Center, Madison Square Garden, UBS Arena"
Weird Al,5,2010-06-24,2025-07-12,"NYCB Theatre at Westbury, Radio City Music Hall, Ridgefield Playhouse, Carnegie Hall, Madison Square Garden"
Bob Seger,4,2011-11-26,2019-05-30,"Mohegan Sun Arena, Barclays Center, Madison Square Garden, Jones Beach Theater"
David Gilmour,4,2016-04-11,2024-11-05,Madison Square Garden
ELO,4,2016-09-16,2024-09-16,"Radio City Music Hall, Madison Square Garden, Prudential Center"
