Show #,Date,Headliner,Opener,Venue,Location,Venue Type,Opening Song,Closing Song,Attended,Date Status
,,,,,,,,,Yes,Issue
,,Etheridge?,,,,,,,Yes,Issue
,,ZZ Top?,,,,,,,Yes,Issue
,,Tedeschi/Winwood??,,,,,,,Yes,Issue
1,,Kenny Rogers,,Westchester County Center,", ",,,,Yes,Issue
2,,Diana Ross,,Jones Beach Theater,"Wantagh, NY",amphitheater,,,Yes,Issue
98,,Allman Brothers Band,,Beacon Theatre,"New York, NY",theater,Trouble No More,Whipping Post,Yes,Issue
306,,ZZTOP,The Pretenders and Stray Cats,Jones Beach Theater,"Wantagh, NY",amphitheater,Got Me Under Pressure,Tush,Yes,Issue
3,1994-06-20,Whitney Houston,,Nassau Coliseum,"Uniondale, NY",arena,Jesus Loves Me,I'll Always Love You,Yes,OK
4,1994-07-24,Elton John & Billy Joel,,Giants Stadium,"East Rutherford, NJ",stadium,Your Song Duet,Piano Man Duet,Yes,OK
5,1994-08-14,The Rolling Stones,Counting Crows,Giants Stadium,"East Rutherford, NJ",stadium,Not Fade Away,Jumpin Jack Flash',Yes,OK
6,1994-12-02,Green Day,,Nassau Coliseum,"Uniondale, NY",arena,TBD,TBD,Yes,OK
7,1995-03-16,Joe Cocker,Keb' Mo,Beacon Theatre,"New York, NY",theater,Feelin Alright,Cry Me a River,Yes,OK
8,1995-06-23,REM,Luscious Jackson,Madison Square Garden,"New York, NY",arena,What's the Frequency,It's the End of the World,Yes,OK
9,1995-08-18,Tom Petty & the Heartbreakers,,The Meadowlands,"East Rutherford, NJ",arena,Love is a Long Road,American Girl,Yes,OK
10,1995-09-19,Eric Clapton,"Clarence ""Gatemouth "" Brown",Nassau Coliseum,"Uniondale, NY",arena,Motherless Child,TBD,Yes,OK
11,1995-10-14,Elton John,,Madison Square Garden,"New York, NY",arena,I'm Still Standing,The Last Song,Yes,OK
12,1995-12-01,Primus,Meat Puppets,Nassau Coliseum,"Uniondale, NY",arena,Professor Nutbutter,Tommy the Cat,Yes,OK
15,1996-02-01,Rod Stewart,,XL Center,"Hartford, CT",arena,Get Back,Sweet Little Rock & Roller,Yes,OK
13,1996-02-16,Red Hot Chile Peppers,Silverchair,Nassau Coliseum,"Uniondale, NY",arena,Suck My Kiss,Deep Kick,Yes,OK
14,1996-03-12,Allman Brothers Band,,Beacon Theatre,"New York, NY",theater,Statesboro Blues,One Way Out,Yes,OK
16,1996-03-16,Billy Joel,,Eisenhower Hall,", ",,NY State of Mind,Piano Man,Yes,OK
17,1996-05-01,Bob Dylan,,Mid Hudson Civic Center,", ",,Leopard Skin Pill Box Hat,Rainey Day Women,Yes,OK
18,1996-06-08,Bob Seger & the Silver Bullet Band,Bone Pony,Jones Beach Theater,"Wantagh, NY",amphitheater,Roll Me Away,Rock & Roll Never Fogets,Yes,OK
19,1996-06-24,The Eagles,,Nassau Coliseum,"Uniondale, NY",arena,Hotel California,Take it Easy,Yes,OK
20,1996-07-04,The Band,,Wall Street,", ",,Unknown,Unknown,Yes,OK
21,1996-07-07,Sting,Cowboy Junkies,Jones Beach Theater,"Wantagh, NY",amphitheater,Hounds of Winter,Fragile,Yes,OK
22,1996-07-13,Roger McGuinn,,Paramount - Peekskill,", ",,Heartbreak Hotel,May the Road Rise to Meet You,Yes,OK
