Venue,Short Name,City,State,Type,Times Visited,First Visit,Last Visit
Madison Square Garden,MSG,New York,NY,arena,251,1995-06-23,2025-09-19
Jones Beach Theater,Jones Beach,Wantagh,NY,amphitheater,100,1996-06-08,2025-08-28
Capitol Theatre,Capitol,Port Chester,NY,theater,76,2012-10-11,2025-08-23
Beacon Theatre,Beacon,New York,NY,theater,71,1995-03-16,2025-08-13
Nassau Coliseum,Nassau,Uniondale,NY,arena,35,1994-06-20,2019-11-16
Radio City Music Hall,Radio City,New York,NY,theater,35,2001-06-08,2025-06-13
Giants Stadium,Giants,East Rutherford,NJ,stadium,34,1994-07-24,2009-10-09
Barclays Center,Barclays,Brooklyn,NY,arena,28,2013-02-12,2025-09-20
Izod Center,Izod,East Rutherford,NJ,arena,27,1996-12-15,2012-12-01
MetLife Stadium,MetLife,East Rutherford,NJ,stadium,26,2011-07-20,2025-09-01
NYCB Theatre at Westbury,Westbury,Westbury,NY,theater,24,2001-06-07,2024-04-14
Citi Field,Citi Field,Queens,NY,stadium,23,2009-07-17,2025-06-04
Ridgefield Playhouse,Ridgefield,Ridgefield,CT,theater,23,2007-12-02,2025-03-16
Tarrytown Music Hall,Tarrytown,Tarrytown,NY,theater,22,2007-09-07,2025-05-09
PNC Bank Arts Center,PNC,Holmdel,NJ,amphitheater,20,1996-08-10,2016-07-16
City Winery,City Winery,New York,NY,club,16,2011-02-19,2025-06-25
Mohegan Sun Arena,Mohegan Sun,Uncasville,CT,casino,15,2004-08-28,2025-10-03
XL Center,XL Center,Hartford,CT,arena,15,1996-02-01,2019-11-02
Prudential Center,Prudential,Newark,NJ,arena,14,2007-10-30,2025-03-06
The Meadowlands,Meadows,East Rutherford,NJ,arena,13,1995-08-18,2016-07-25
Great South Bay Music Festival,Oakdale,Oakdale,NY,theater,10,1997-07-19,2024-07-26
UBS Arena,UBS,Elmont,NY,arena,10,2022-04-23,2024-12-31
Bridgeport Amphitheatre,,,,,9,2021-08-17,2024-10-05
Forest Hills,,,,,9,2016-06-17,2025-08-09
MSG Theater,,,,,9,2006-04-24,2019-11-04
Town Hall,,,,,9,2009-01-14,2023-12-03
Times Union Center,,,,,8,2007-04-17,2024-04-15
Today Show Plaza,,,,,8,2007-09-28,2024-10-30
Irving Plaza,,,,,7,1998-09-12,2025-06-06
Walter Kerr,,,,,7,2017-10-13,2018-12-15
Asbury Park Beach,,,,,6,2021-09-18,2024-09-15
Terminal 5,,,,,6,2009-10-15,2022-11-10
Convention Hall,,,,,5,2001-12-04,2011-12-09
Count Basie,,,,,5,2001-10-19,2025-01-18
BB Kings,,,,,4,2002-06-16,2008-01-31
Carnegie Hall,,,,,4,2008-11-24,2022-10-29
Chelsea Piers,,,,,4,2007-11-09,2010-11-11
Citizens Bank Park,,,,,4,2012-09-02,2022-06-18
Continental,,,,,4,2005-10-16,2006-06-03
Daryl's House,,,,,4,2017-01-29,2021-12-18
Paramount Asbury,,,,,4,2010-01-16,2017-01-14
Peekskill,,,,,4,2006-11-08,2018-04-15
Xfinity Center,,,,,4,2019-08-29,2023-07-15
Yankee Stadium,,,,,4,2011-07-15,2016-07-09
Bowery,,,,,3,2013-07-25,2025-03-11
Bridgeport,,,,,3,2006-11-28,2025-07-18
Daryls House,,,,,3,2017-12-30,2024-08-28
Gillette Stadium,,,,,3,2009-07-18,2017-08-26
Gramercy Theater,,,,,3,2017-09-25,2025-09-05
Hammerstein,,,,,3,1997-06-03,2010-12-02
Met Life Stadium,,,,,3,2012-09-19,2012-09-22
Peekskill Paramount,,,,,3,2016-04-29,2018-12-06
Roseland,,,,,3,1997-11-21,2014-04-02
Shea Stadium,,,,,3,2003-10-04,2008-07-18
Sony Hall,,,,,3,2018-08-29,2024-11-18
Sphere,,,,,3,2024-06-13,2024-06-15
Stamford Center for Arts,,,,,3,2004-11-30,2005-06-07
Stone Pony,,,,,3,2005-02-19,2015-06-27
Towne Crier,,,,,3,1998-01-25,2009-08-21
Webster Hall,,,,,3,2007-03-14,2024-12-12
Westchester County Center,,,,,3,2019-06-20,2019-11-23
Westville Music Bowl,,,,,3,2022-05-31,2024-05-21
Albany Times Union Center,,,,,2,2017-03-11,2025-06-20
Arena at Harbor Yard,,,,,2,2004-04-27,2005-07-20
Best Buy Theater,,,,,2,2014-09-25,2014-11-14
Bethel Woods,,,,,2,2023-08-13,2025-05-24
Caramoor,,,,,2,2019-12-07,2025-08-02
Central Park,,,,,2,2003-09-24,2007-08-09
Citizens,,,,,2,2024-08-21,2024-08-23
Fleet Center,,,,,2,1998-05-15,1998-05-16
Ford Amphitheater,,,,,2,2018-08-17,2023-07-05
Highline Ballroom,,,,,2,2014-07-21,2017-09-22
Iridium,,,,,2,2014-03-19,2014-03-19
Ives Center,,,,,2,2008-07-03,2011-08-28
Kings Theatre,,,,,2,2024-11-26,2025-02-11
Le Poisson Rouge,,,,,2,2015-04-07,2024-10-23
MSG - Paramount,,,,,2,1997-04-12,1998-01-16
NJPAC,,,,,2,2022-02-06,2024-03-10
Neil Simon Theater,,,,,2,2010-07-25,2010-10-25
New Meadowlands,,,,,2,2010-05-29,2010-07-09
Oakdale Theater,,,,,2,2016-04-16,2019-03-02
Paramount - Peekskill,,,,,2,1996-07-13,1997-04-25
Paramount Huntington,,,,,2,2018-03-11,2018-03-17
Ridgefield,,,,,2,2011-03-24,2016-05-10
SPAC,,,,,2,2015-09-06,2024-09-21
St. James Theatre,,,,,2,2021-06-30,2021-07-16
Symphony Space,,,,,2,2020-02-08,2022-12-15
Thunder Ridge,,,,,2,1997-06-28,1997-07-10
Tilles Center,,,,,2,2013-12-12,2025-08-03
Toads,,,,,2,2000-03-13,2001-05-01
Today Show,,,,,2,2018-06-12,2018-08-02
Tweeter Center,,,,,2,2000-08-12,2000-08-19
Wachovia,,,,,2,2004-10-01,2005-05-22
Webster Theater,,,,,2,2000-09-23,2002-02-01
Wells Fargo Arena,,,,,2,2016-02-12,2023-03-16
Wonder Bar,,,,,2,2015-08-14,2024-10-24
92 Y,,,,,1,2005-11-29,2005-11-29
92Y,,,,,1,2022-09-13,2022-09-13
Amalie Arena (Tampa),,,,,1,2023-02-01,2023-02-01
Amway Center (Orlando),,,,,1,2023-02-05,2023-02-05
Apollo Theater,,,,,1,2017-02-16,2017-02-16
Atlanta Phillips Arena,,,,,1,2008-04-25,2008-04-25
Bakkt Theater (Vegas),,,,,1,2023-11-01,2023-11-01
Barcalys,,,,,1,2016-11-19,2016-11-19
Bardavon Theatre,,,,,1,2025-02-10,2025-02-10
Bell House Brooklyn,,,,,1,2013-10-16,2013-10-16
Billy Bobs of Texas,,,,,1,2016-04-02,2016-04-02
Blue Note,,,,,1,2025-01-16,2025-01-16
Bowery Electric,,,,,1,2010-03-04,2010-03-04
Bridgeport Harbor Yard,,,,,1,2013-07-19,2013-07-19
Broadway,,,,,1,2019-08-16,2019-08-16
Brooklyn Steel,,,,,1,2019-04-23,2019-04-23
Bushnell Theater,,,,,1,2016-11-21,2016-11-21
CFG Baltimore,,,,,1,2024-09-12,2024-09-12
Caesars Palace,,,,,1,2006-07-29,2006-07-29
Camden Yards,,,,,1,2024-09-13,2024-09-13
Capitol Theeatr,,,,,1,2025-01-17,2025-01-17
Central Park Great Lawn,,,,,1,2015-09-26,2015-09-26
Cherry Lane Theatre,,,,,1,2022-03-22,2022-03-22
Circle in Square,,,,,1,2023-11-14,2023-11-14
Citizens Bank Stadium,,,,,1,2009-08-01,2009-08-01
City Vinyard,,,,,1,2019-10-22,2019-10-22
City Winery HV,,,,,1,2023-07-27,2023-07-27
City Winery NYC,,,,,1,2016-08-13,2016-08-13
DCU Center,,,,,1,2016-02-27,2016-02-27
Damrosch Park Lincoln Center,,,,,1,2015-08-09,2015-08-09
Dolby Live (Vegas),,,,,1,2023-10-04,2023-10-04
Eisenhower Hall,,,,,1,1996-03-16,1996-03-16
Electric Bowery,,,,,1,2010-10-09,2010-10-09
Emelin Theater,,,,,1,2024-03-01,2024-03-01
FYE,,,,,1,2006-09-26,2006-09-26
Fairfield Stage One,,,,,1,2018-09-22,2018-09-22
Farmingville Amphitheater,,,,,1,2019-08-17,2019-08-17
Fenway,,,,,1,2018-09-02,2018-09-02
Foxboro,,,,,1,2012-08-18,2012-08-18
Foxwoods,,,,,1,2003-03-02,2003-03-02
Foxwoods Casino,,,,,1,2019-07-19,2019-07-19
Ft. Adams,,,,,1,2019-07-26,2019-07-26
Garcia's,,,,,1,2024-10-26,2024-10-26
Gibson Guitar Tent (Vegas),,,,,1,2008-01-08,2008-01-08
Gramercy,,,,,1,2011-06-29,2011-06-29
Grange Fair,,,,,1,2003-09-06,2003-09-06
Hammerstein Ballroom,,,,,1,2007-11-02,2007-11-02
Hard Rock NYC,,,,,1,2019-04-05,2019-04-05
Hartford,,,,,1,2012-10-25,2012-10-25
Hartford Covic Center,,,,,1,2009-04-24,2009-04-24
Hill Country BBQ,,,,,1,2022-04-01,2022-04-01
"Hilton, Atlantic City",,,,,1,2001-07-22,2001-07-22
House of Blues (Vegas),,,,,1,2023-11-05,2023-11-05
"Ice Arena Tampa, FL",,,,,1,2000-03-11,2000-03-11
Irish Pub of Cape Cod,,,,,1,2000-08-16,2000-08-16
Irvington Town Hall,,,,,1,2009-04-17,2009-04-17
Jones Beacj,,,,,1,2008-07-11,2008-07-11
Klein Theater Bridgeport,,,,,1,2015-08-29,2015-08-29
Late Night Studio,,,,,1,2022-11-14,2022-11-14
Lincoln Center,,,,,1,2024-11-11,2024-11-11
Lincoln Financial,,,,,1,2018-06-09,2018-06-09
Livin For You,,,,,1,1997-07-09,1997-07-09
MSG Sphere (Vegas),,,,,1,2023-10-05,2023-10-05
MSG Theather,,,,,1,2014-11-05,2014-11-05
Manhattan Center,,,,,1,2018-09-21,2018-09-21
Mayo Performing Arts,,,,,1,2019-10-19,2019-10-19
Melody Tent,,,,,1,1999-07-18,1999-07-18
Melrose Ballroom,,,,,1,2015-09-10,2015-09-10
Mercury Lounge,,,,,1,2024-04-04,2024-04-04
Metlife,,,,,1,2015-08-15,2015-08-15
Metroplitan Opera,,,,,1,2010-07-13,2010-07-13
Mid Hudson Civic Center,,,,,1,1996-05-01,1996-05-01
Mill Hill Club,,,,,1,1999-07-19,1999-07-19
Minetta Lane,,,,,1,2019-09-20,2019-09-20
"Montage Mt, Scranton PA",,,,,1,2002-07-13,2002-07-13
Morristown Theater,,,,,1,2009-02-08,2009-02-08
Mulcahey,,,,,1,2002-08-03,2002-08-03
NBC Plaza,,,,,1,2012-06-22,2012-06-22
Nasau,,,,,1,2022-03-06,2022-03-06
New Haven Coliseum,,,,,1,1999-11-10,1999-11-10
Newark,,,,,1,2018-10-12,2018-10-12
"Newark, NJ",,,,,1,2017-06-16,2017-06-16
O'Neill Center,,,,,1,1997-11-23,1997-11-23
OMaha (Qwest Center),,,,,1,2005-05-15,2005-05-15
OMaha Qwest Center,,,,,1,2005-04-01,2005-04-01
Opry City Stage,,,,,1,2018-01-26,2018-01-26
Ossining Library,,,,,1,2015-05-17,2015-05-17
Outpost at Burbs,,,,,1,2019-05-11,2019-05-11
PNC Bank,,,,,1,2023-08-19,2023-08-19
Palace Theatre Stamford,,,,,1,2024-04-05,2024-04-05
Paramount,,,,,1,2013-01-19,2013-01-19
Paramount Asbury (Rehearsal),,,,,1,2007-09-24,2007-09-24
