original_name,canonical_name,city,state,venue_type,times_visited,notes
Ford Amphitheater,Ford Amphitheater,,,,2,Artists: Beach Boys...
Highline Ballroom,Highline Ballroom,,,,2,Artists: Keith Urban...
Iridium,Iridium,,,,2,Artists: Lee Dewyze...
Ives Center,Ives Center,,,,2,Artists: The Beach Boys...
Kings Theatre,Kings Theatre,,,,2,Artists: Empire of the Sun...
Le Poisson Rouge,Le Poisson Rouge,,,,2,Artists: Mumford & Sons...
MSG - Paramount,MSG - Paramount,,,,2,Artists: John Mellencamp...
NJPAC,NJPAC,,,,2,Artists: Eddie Vedder & The Earthlings...
Neil Simon Theater,Neil Simon Theater,,,,2,Artists: Harry Connick Jr....
New Meadowlands,New Meadowlands,,,,2,Artists: Bon Jovi...
Oakdale Theater,Oakdale Theater,,,,2,Artists: Huey Lewis  The News...
Paramount - Peekskill,Paramount - Peekskill,,,,2,Artists: Roger McGuinn...
Paramount Huntington,Paramount Huntington,,,,2,Artists: Lyle Lovett & Shawn Colvin...
Ridgefield,Ridgefield,,,,2,Artists: Peter Wolf...
SPAC,SPAC,,,,2,Artists: Zac Brown Band with Drake White...
St. James Theatre,St. James Theatre,,,,2,Artists: Bruce Springsteen...
Symphony Space,Symphony Space,,,,2,Artists: Richard Thompson...
Thunder Ridge,Thunder Ridge,,,,2,Artists: Crosby...
Tilles Center,Tilles Center,,,,2,Artists: Bryan Adams...
Toads,Toads,,,,2,Artists: Clancy Brothers...
Today Show,Today Show,,,,2,Artists: Dierks Bentley...
Tweeter Center,Tweeter Center,,,,2,Artists: Neil Young & the Pretenders...
Wachovia,Wachovia,,,,2,Artists: Bruce Springsteen...
Webster Theater,Webster Theater,,,,2,Artists: Dickey Betts Band...
Wells Fargo Arena,Wells Fargo Arena,,,,2,Artists: Bruce Springsteen & the E Street Band...
Wonder Bar,Wonder Bar,,,,2,Artists: Will Hoge...
92 Y,92 Y,,,,1,"Artist: Billy Joel, Date: 2005-11-29"
92Y,92Y,,,,1,"Artist: Bruce Springsteen / Jann Wenner, Date: 2022-09-13"
Amalie Arena (Tampa),Amalie Arena (Tampa),,,,1,"Artist: Bruce Springsteen & the E Street Band, Date: 2023-02-01"
Amway Center (Orlando),Amway Center (Orlando),,,,1,"Artist: Bruce Springsteen & the E Street Band, Date: 2023-02-05"
Apollo Theater,Apollo Theater,,,,1,"Artist: Ryan Adams, Date: 2017-02-16"
Atlanta Phillips Arena,Atlanta Phillips Arena,,,,1,"Artist: Bruce Springsteen & the E Street Band, Date: 2008-04-25"
Bakkt Theater (Vegas),Bakkt Theater (Vegas),,,,1,"Artist: Keith Urban, Date: 2023-11-01"
Barcalys,Barcalys,,,,1,"Artist: Keith Urban, Date: 2016-11-19"
Bardavon Theatre,Bardavon Theatre,,,,1,"Artist: Billy Gibbons, Date: 2025-02-10"
Bell House Brooklyn,Bell House Brooklyn,,,,1,"Artist: Will Hoge, Date: 2013-10-16"
Billy Bobs of Texas,Billy Bobs of Texas,,,,1,"Artist: Montgomery gentry, Date: 2016-04-02"
Blue Note,Blue Note,,,,1,"Artist: Marcus King Trio (MonoNeon, Date: 2025-01-16"
Bowery Electric,Bowery Electric,,,,1,"Artist: Jesse Malin, Date: 2010-03-04"
Bridgeport Harbor Yard,Bridgeport Harbor Yard,,,,1,"Artist: Bob Dylan, Date: 2013-07-19"
Broadway,Broadway,,,,1,"Artist: Barry Manilow, Date: 2019-08-16"
