original_name,canonical_name,short_name,city,state,venue_type,count,needs_review,notes
Forest Hills,Forest Hills Stadium,Forest Hills,Forest Hills,NY,stadium,7,NO,"Forest Hills is in Forest Hills, NY. The Forest Hills Stadium"
Forest HIlls,Forest Hills Stadium,Forest Hills,Forest Hills,NY,stadium,2,NO,Typo variation of Forest Hills 
BB Kings,BB King Blues Club,BB Kings,New York,NY,club,3,NO,Closed venue - was in Times Square
BB KIngs,BB King Blues Club,BB Kings,New York,NY,club,1,NO,Closed venue - was in Times Square
MSG Theater,The Theater at Madison Square Garden,MSG Theater,New York,NY,theater,9,NO,Theater underneath MSG - separate from main arena
Town Hall,The Town Hall,Town Hall,New York,NY,theater,9,NO,The Town Hall is a location in NYC
Bridgeport Amphitheatre,Hartford HealthCare Amphitheater,Bridgeport,Bridgeport,CT,amphitheater,9,NO,Formerly Bridgeport Amphitheatre
Times Union Center,MVP Arena,Times Union,Albany,NY,arena,8,NO,Formerly Times Union Center
Today Show Plaza,Today Show Plaza at Rockefeller Center,Today Show,New York,NY,outdoor,8,NO,Outdoor plaza at 30 Rockefeller Plaza
Irving Plaza,Irving Plaza,Irving Plaza,New York,NY,club,7,NO,Irving Plaza is a venue in NYC
Walter Kerr,Walter Kerr Theatre,Walter Kerr,New York,NY,theater,7,NO,Broadway theater
Terminal 5,Terminal 5,Terminal 5,New York,NY,club,6,NO,Terminal 5 is a venue in NYC. 
Asbury Park Beach,Asbury Park Beach,Asbury Beach,Asbury Park,NJ,outdoor,6,NO,Asbury Park is a location in New Jersey. 
Count Basie,Count Basie Center for the Arts,Count Basie,Red Bank,NJ,theater,5,NO,"Count Basie Center for the Arts is in Red Bank, NJ"
Convention Hall,Convention Hall,Convention Hall,Asbury Park,NJ,arena,5,NO,"This is also in Asbury Park, NJ"
Continental,Continental Airlines Arena,Continental,East Rutherford,NJ,arena,4,NO,Also known as Izod Center/Meadowlands Arena
Peekskill,Paramount Hudson Valley Theater,Peekskill,Peekskill,NY,theater,4,NO,"This is a venue in Peekskill, NY. Not sure of the name of the venue. "
Chelsea Piers,Chelsea Piers,Chelsea Piers,New York,NY,outdoor,4,NO,Sports and entertainment complex
Carnegie Hall,Carnegie Hall,Carnegie Hall,New York,NY,theater,4,NO,This is Carnegie Hall in NYC. 
