Concert ID,Date,Venue,City,State,Festival Name,Headliners,Openers,Other Artists,Total Artists,Has Setlist
10,1995-08-18,The Meadowlands,East Rutherford,NJ,,Tom Petty & the Heartbreakers,,,1,False
100,2000-03-13,Toad's Place,New Haven,CT,,Clancy Brothers,,,1,False
1000,2021-11-22,Capitol Theatre,Port Chester,NY,,Joe Bonamassa,,,1,True
1001,2021-11-23,Capitol Theatre,Port Chester,NY,,Bob Dylan,,,1,True
1002,2021-11-29,Madison Square Garden,New York,NY,,Luke Combs,Ashely McBryde,,2,True
1003,2021-12-13,The Town Hall,New York,NY,,Bruce Springsteen + Earle + Nile + Cash (7th Annual J. Henry),,,1,False
1004,2021-12-18,Daryl's House,Pawling,NY,,Wille Nile,,,1,False
1005,2022-02-06,New Jersey Performing Arts Center,Newark,NJ,Multi-Artist Show,,,Eddie Vedder; The Earthlings,2,True
1006,2022-02-23,Madison Square Garden,New York,NY,,Elton John,,,1,True
1007,2022-03-01,Barclays Center,Brooklyn,NY,,Elton John,,,1,True
1008,2022-03-06,Nassau Coliseum,Uniondale,NY,,Elton John,,,1,True
1009,2022-03-11,Ridgefield Playhouse,Ridgefield,CT,,Warren Haynes,,,1,True
101,2000-04-12,XL Center,Hartford,CT,Multi-Artist Show,,,Crosby; Stills; Nash & Young,3,True
1010,2022-03-12,Count Basie Center for the Arts,Red Bank,NJ,Light of Day 22,,,Grushecky; Nile; Malin; Maddock etc.,4,False
1011,2022-03-22,Cherry Lane Theatre,New York,NY,,Steve Earle (Coal Country Play),,,1,False
1012,2022-03-23,Capitol Theatre,Port Chester,NY,,Brothers Osbourne,,,1,False
1013,2022-03-26,Ridgefield Playhouse,Ridgefield,CT,Multi-Artist Show,,,Mike Campbell; Dirty Knobs,2,True
1014,2022-04-01,Hill Country Live,New York,NY,,Will Hoge,,,1,False
1015,2022-04-03,Radio City Music Hall,New York,NY,Multi-Artist Show,,,Bob Weir; Wolf Brothers,2,True
1016,2022-04-05,Tarrytown Music Hall,Tarrytown,NY,,Jason Isbell,,,1,True
1017,2022-04-07,Tarrytown Music Hall,Tarrytown,NY,,Colin Hay,,,1,False
1018,2022-04-08,Madison Square Garden,New York,NY,,Billy Joel,,,1,True
1019,2022-04-15,Capitol Theatre,Port Chester,NY,,John Fogerty,,,1,True
102,2000-05-08,XL Center,Hartford,CT,,Bruce Springsteen & the E Street Band,,,1,False
1020,2022-04-23,UBS Arena,Elmont,NY,,The Eagles,,,1,True
1021,2022-05-10,Ridgefield Playhouse,Ridgefield,CT,,Weird Al,,,1,True
1022,2022-05-20,Madison Square Garden,New York,NY,,Eric Church,,,1,True
1023,2022-05-26,Madison Square Garden,New York,NY,,The Who,,,1,True
1024,2022-05-31,Westville Music Bowl,New Haven,CT,,Avett Brothers,,,1,True
1025,2022-06-03,Jones Beach Theater,Wantagh,NY,,Tim McGraw,,,1,True
1026,2022-06-04,Forest Hills Stadium,Forest Hills,NY,,Robert Plant + Alison Krauss,,,1,True
1027,2022-06-10,Tarrytown Music Hall,Tarrytown,NY,,Buddy Guy,,,1,True
1028,2022-06-16,MetLife Stadium,East Rutherford,NJ,,Paul McCartney,,,1,True
1029,2022-06-18,Citizens Bank Park,Philadelphia,PA,,Kenny Chesney / Dan + Shay / Old Dominion,,,1,False
103,2000-06-09,Jones Beach Theater,Wantagh,NY,,KISS,Ted Nugent,,2,True
1030,2022-06-21,Jones Beach Theater,Wantagh,NY,,The Doobie Brothers,,,1,True
1031,2022-06-27,Hartford HealthCare Amphitheater,Bridgeport,CT,,Black Crowes,,,1,True
1032,2022-06-30,City Winery,New York,NY,,John Hiatt,,,1,True
1033,2022-06-30,Rockefeller Plaza,New York,NY,,Keith Urban,,,1,False
1034,2022-07-01,Hartford HealthCare Amphitheater,Bridgeport,CT,Multi-Artist Show,,,DEAD: Phil Lesh + Friends (w. Warren Haynes; Q),2,False
