Concert ID,Date,Venue,City,State,Artists,Has Setlist
10,1995-08-18,The Meadowlands,East Rutherford,NJ,Tom Petty & the Heartbreakers (headliner),False
100,2000-03-13,Toad's Place,New Haven,CT,Clancy Brothers (headliner),False
1000,2021-11-22,Capitol Theatre,Port Chester,NY,Joe Bonamassa (headliner),True
1001,2021-11-23,Capitol Theatre,Port Chester,NY,Bob Dylan (headliner),True
1002,2021-11-29,Madison Square Garden,New York,NY,"Luke Combs (headliner), Ashely McBryde (opener)",True
1003,2021-12-13,The Town Hall,New York,NY,Bruce Springsteen + Earle + Nile + Cash (7th Annual J. Henry) (headliner),False
1004,2021-12-18,Daryl's House,Pawling,NY,Wille Nile (headliner),False
1005,2022-02-06,New Jersey Performing Arts Center,Newark,NJ,"Eddie Vedder (festival_performer), The Earthlings (festival_performer)",True
1006,2022-02-23,Madison Square Garden,New York,NY,Elton John (headliner),True
1007,2022-03-01,Barclays Center,Brooklyn,NY,Elton John (headliner),True
1008,2022-03-06,Nassau Coliseum,Uniondale,NY,Elton John (headliner),True
1009,2022-03-11,Ridgefield Playhouse,Ridgefield,CT,Warren Haynes (headliner),True
101,2000-04-12,XL Center,Hartford,CT,"Crosby (festival_performer), Stills (festival_performer), Nash & Young (festival_performer)",True
1010,2022-03-12,Count Basie Center for the Arts,Red Bank,NJ,"Grushecky (festival_performer), Nile (festival_performer), Malin (festival_performer), Maddock etc. (festival_performer)",False
1011,2022-03-22,Cherry Lane Theatre,New York,NY,Steve Earle (Coal Country Play) (headliner),False
1012,2022-03-23,Capitol Theatre,Port Chester,NY,Brothers Osbourne (headliner),False
1013,2022-03-26,Ridgefield Playhouse,Ridgefield,CT,"Mike Campbell (festival_performer), Dirty Knobs (festival_performer)",True
1014,2022-04-01,Hill Country Live,New York,NY,Will Hoge (headliner),False
1015,2022-04-03,Radio City Music Hall,New York,NY,"Bob Weir (festival_performer), Wolf Brothers (festival_performer)",True
1016,2022-04-05,Tarrytown Music Hall,Tarrytown,NY,Jason Isbell (headliner),True
1017,2022-04-07,Tarrytown Music Hall,Tarrytown,NY,Colin Hay (headliner),False
1018,2022-04-08,Madison Square Garden,New York,NY,Billy Joel (headliner),True
1019,2022-04-15,Capitol Theatre,Port Chester,NY,John Fogerty (headliner),True
102,2000-05-08,XL Center,Hartford,CT,Bruce Springsteen & the E Street Band (headliner),False
1020,2022-04-23,UBS Arena,Elmont,NY,The Eagles (headliner),True
1021,2022-05-10,Ridgefield Playhouse,Ridgefield,CT,Weird Al (headliner),True
1022,2022-05-20,Madison Square Garden,New York,NY,Eric Church (headliner),True
1023,2022-05-26,Madison Square Garden,New York,NY,The Who (headliner),True
1024,2022-05-31,Westville Music Bowl,New Haven,CT,Avett Brothers (headliner),True
1025,2022-06-03,Jones Beach Theater,Wantagh,NY,Tim McGraw (headliner),True
1026,2022-06-04,Forest Hills Stadium,Forest Hills,NY,Robert Plant + Alison Krauss (headliner),True
1027,2022-06-10,Tarrytown Music Hall,Tarrytown,NY,Buddy Guy (headliner),True
1028,2022-06-16,MetLife Stadium,East Rutherford,NJ,Paul McCartney (headliner),True
1029,2022-06-18,Citizens Bank Park,Philadelphia,PA,Kenny Chesney / Dan + Shay / Old Dominion (headliner),False
103,2000-06-09,Jones Beach Theater,Wantagh,NY,"KISS (headliner), Ted Nugent (opener)",True
1030,2022-06-21,Jones Beach Theater,Wantagh,NY,The Doobie Brothers (headliner),True
1031,2022-06-27,Hartford HealthCare Amphitheater,Bridgeport,CT,Black Crowes (headliner),True
1032,2022-06-30,City Winery,New York,NY,John Hiatt (headliner),True
1033,2022-06-30,Rockefeller Plaza,New York,NY,Keith Urban (headliner),False
1034,2022-07-01,Hartford HealthCare Amphitheater,Bridgeport,CT,"DEAD: Phil Lesh + Friends (w. Warren Haynes (festival_performer), Q) (festival_performer)",False
1035,2022-07-02,Hartford HealthCare Amphitheater,Bridgeport,CT,Lynyrd Skynyrd (headliner),True
1036,2022-07-05,Xfinity Center,Mansfield,MA,"DEAD: Dead (festival_performer), Company (festival_performer)",True
1037,2022-07-13,Hartford HealthCare Amphitheater,Bridgeport,CT,Jackson Browne (headliner),True
1038,2022-07-15,Citi Field,Queens,NY,"DEAD:  Dead (festival_performer), Company (festival_performer)",True
1039,2022-07-16,Citi Field,Queens,NY,"DEAD:  Dead (festival_performer), Company (festival_performer)",True
104,2000-06-26,Madison Square Garden,New York,NY,Bruce Springsteen & the E Street Band (headliner),False
1040,2022-07-23,MetLife Stadium,East Rutherford,NJ,Elton John (headliner),True
1041,2022-07-27,Jones Beach Theater,Wantagh,NY,Phish (headliner),True
1042,2022-08-03,Capitol Theatre,Port Chester,NY,Counting Crowes (headliner),False
1043,2022-08-09,Madison Square Garden,New York,NY,Rage Against the Machine (headliner),True
1044,2022-08-13,UBS Arena,Elmont,NY,Roger Waters (headliner),True
1045,2022-08-14,Hartford HealthCare Amphitheater,Bridgeport,CT,Steve Miller Band (headliner),True
1046,2022-08-18,Citi Field,Queens,NY,Zac Brown Band (headliner),True
1047,2022-08-19,Jones Beach Theater,Wantagh,NY,Joe Bonamassa (headliner),True
1048,2022-08-23,Jones Beach Theater,Wantagh,NY,Rod Stewart (headliner),True
1049,2022-08-24,Madison Square Garden,New York,NY,Billy Joel (headliner),True
105,2000-06-27,Izod Center,East Rutherford,NJ,"KISS (headliner), Ted Nugent (opener)",True
1050,2022-08-25,Jones Beach Theater,Wantagh,NY,Chris Stapleton (headliner),True
1051,2022-08-27,Capitol Theatre,Port Chester,NY,Avett Brothers (w./ Clem Snide) (headliner),False
1052,2022-08-28,Capitol Theatre,Port Chester,NY,Avett Brothers (headliner),True
1053,2022-08-31,Madison Square Garden,New York,NY,Roger Waters (headliner),True
1054,2022-09-10,Forest Hills Stadium,Forest Hills,NY,"Van Morrison (festival_performer), Tom Jones (festival_performer)",True
1055,2022-09-11,Madison Square Garden,New York,NY,Pearl Jam (headliner),True
1056,2022-09-13,92nd Street Y,New York,NY,Bruce Springsteen / Jann Wenner (headliner),False
1057,2022-09-16,Capitol Theatre,Port Chester,NY,"Mike Campbell (festival_performer), Dirty Knobs (festival_performer)",True
1058,2022-09-17,Asbury Park Beach,Asbury Park,NJ,Sea Hear Now (Stevie Nicks) (headliner),False
1059,2022-09-18,Asbury Park Beach,Asbury Park,NJ,Sea Hear Now (Green Day) (headliner),False
106,2000-06-28,PNC Bank Arts Center,Holmdel,NJ,Phish (headliner),True
1060,2022-09-19,Madison Square Garden,New York,NY,Eric Clapton (headliner),True
1061,2022-09-30,Madison Square Garden,New York,NY,The Killers (w. Johnny Marr) (headliner),False
1062,2022-10-01,Westville Music Bowl,New Haven,CT,"Bob Weir (festival_performer), Wolf Brothers (festival_performer)",True
1063,2022-10-07,Capitol Theatre,Port Chester,NY,"Jeff Beck (festival_performer), Johnny Depp (festival_performer)",True
1064,2022-10-18,Capitol Theatre,Port Chester,NY,ZZ Top (headliner),True
1065,2022-10-21,Mohegan Sun Arena,Uncasville,CT,Keith Urban (headliner),True
1066,2022-10-22,UBS Arena,Elmont,NY,Keith Urban (headliner),True
1067,2022-10-29,Carnegie Hall,New York,NY,Weird Al (headliner),True
1068,2022-11-02,Beacon Theatre,New York,NY,U2:  Bono (headliner),False
1069,2022-11-04,Capitol Theatre,Port Chester,NY,Last Waltz with Warren Haynes + Jamey Johnson (headliner),False
107,2000-07-01,Madison Square Garden,New York,NY,Bruce Springsteen & the E Street Band (headliner),False
1070,2022-11-07,Beacon Theatre,New York,NY,Marcus Mumford (headliner),True
1071,2022-11-10,Terminal 5,New York,NY,Kip Moore (headliner),False
1072,2022-11-14,NBC Studios,New York,NY,"Bruce Springsteen (Late Night (headliner), Fallon) (opener)",False
1073,2022-11-18,Madison Square Garden,New York,NY,Dave Matthews Band (headliner),True
1074,2022-12-08,Beacon Theatre,New York,NY,Gregg Allman Beacon 75 (headliner),False
1075,2022-12-15,Symphony Space,New York,NY,Richard Thompson (headliner),True
1076,2023-01-14,Count Basie Center for the Arts,Red Bank,NJ,Light of Day (headliner),False
